Год: 2005.0, Средняя зарплата: 159610.24 руб
Год: 2006.0, Средняя зарплата: 159577.38 руб
Год: 2007.0, Средняя зарплата: 185360.45 руб
Год: 2008.0, Средняя зарплата: 227168.45 руб
Год: 2009.0, Средняя зарплата: 191470.19 руб
Год: 2010.0, Средняя зарплата: 192132.41 руб
Год: 2011.0, Средняя зарплата: 165092.11 руб
Год: 2012.0, Средняя зарплата: 155000.33 руб
Год: 2013.0, Средняя зарплата: 167473.90 руб
Год: 2014.0, Средняя зарплата: 113024.85 руб
Год: 2015.0, Средняя зарплата: 96714.35 руб
Год: 2016.0, Средняя зарплата: 118873.31 руб
Год: 2017.0, Средняя зарплата: 128105.15 руб
Год: 2018.0, Средняя зарплата: 267896.66 руб
Год: 2019.0, Средняя зарплата: 154535.36 руб
Год: 2020.0, Средняя зарплата: 127233.83 руб
Год: 2021.0, Средняя зарплата: 173439.78 руб
Год: 2022.0, Средняя зарплата: 190728.76 руб
Год: 2023.0, Средняя зарплата: 148181.16 руб
Год: 2024.0, Средняя зарплата: 138127.46 руб
